filedFor,nameOfIssuer,ticker,no_shares,value
2015-09-30,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,241522000
2015-09-30,U S G CORP,USG,39002016,1038234000
2015-09-30,UNITED PARCEL SERVICE INC,UPS,59400,5862000
2015-09-30,US BANCORP DEL,USB,85063167,3488441000
2015-09-30,VERISIGN INC,VRSN,12985000,916222000
2015-09-30,VERISK ANALYTICS INC,VRSK,1563434,115553000
2015-09-30,VERIZON COMMUNICATIONS INC,VZ,15000928,652691000
2015-09-30,VISA INC,V,9885160,688600000
2015-09-30,WABCO HLDGS INC,WBC,3559189,373110000
2015-09-30,WAL MART STORES INC,WMT,56185293,3643055000
2015-09-30,WELLS FARGO & CO NEW,WFC,470292359,24149513000
2015-12-31,AMERICAN EXPRESS CO,AXP,151610700,10544524000
2015-12-31,AT&T INC,T,46577138,1602719000
2015-12-31,AXALTA COATING SYS LTD,AXTA,23324000,621585000
2015-12-31,BANK OF NEW YORK MELLON CORP,BK,20112212,829026000
2015-12-31,CHARTER COMMUNICATIONS INC D,CHTR,10281603,1882561000
2015-12-31,COCA COLA CO,KO,400000000,17184000000
2015-12-31,COSTCO WHSL CORP NEW,COST,4333363,699838000
2015-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2688406000
2015-12-31,DEERE & CO,DE,22884150,1745375000
2015-12-31,GENERAL ELECTRIC CO,GE,10585502,329739000
2015-12-31,GENERAL MTRS CO,GM,50000000,1700501000
2015-12-31,GOLDMAN SACHS GROUP INC,GS,10959519,1975234000
2015-12-31,GRAHAM HLDGS CO,GHC,107575,52171000
2015-12-31,INTERNATIONAL BUSINESS MACHS,IBM,81033450,11151823000
2015-12-31,JOHNSON & JOHNSON,JNJ,327100,33600000
2015-12-31,KINDER MORGAN INC DEL,KMI,26533525,395880000
2015-12-31,KRAFT HEINZ CO,KHC,325634818,23693189000
2015-12-31,LEE ENTERPRISES INC,LEE,88863,149000
2015-12-31,LIBERTY GLOBAL PLC,LBTYA,12544296,531377000
2015-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,299536000
2015-12-31,LIBERTY GLOBAL PLC,LILA,517139,21394000
2015-12-31,LIBERTY GLOBAL PLC,LILAK,367348,15796000
2015-12-31,LIBERTY MEDIA CORP DELAWARE,FWONA,7800000,306150000
2015-12-31,LIBERTY MEDIA CORP DELAWARE,FWONK,15386257,585909000
2015-12-31,M & T BK CORP,MTB,5382040,652195000
2015-12-31,MASTERCARD INC,MA,5229756,509169000
2015-12-31,MEDIA GEN INC NEW,MEG1,3471309,56062000
2015-12-31,MONDELEZ INTL INC,MDLZ,578000,25918000
2015-12-31,MOODYS CORP,MCO,24669778,2475366000
2015-12-31,NOW INC,DNOW,1825569,28880000
2015-12-31,PHILLIPS 66,PSX,61486926,5029632000
2015-12-31,PRECISION CASTPARTS CORP,PCP,4200792,974626000
2015-12-31,PROCTER & GAMBLE CO,PG,52793078,4192298000
2015-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,315252000
2015-12-31,TORCHMARK CORP,GL,6353727,363180000
2015-12-31,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,243133000
2015-12-31,U S G CORP,USG,39002016,947359000
2015-12-31,UNITED PARCEL SERVICE INC,UPS,59400,5716000
2015-12-31,US BANCORP DEL,USB,85063167,3629646000
2015-12-31,VERISIGN INC,VRSN,12985000,1134370000
2015-12-31,VERISK ANALYTICS INC,VRSK,1563434,120197000
2015-12-31,VERIZON COMMUNICATIONS INC,VZ,15000928,693343000
2015-12-31,VISA INC,V,9885160,766594000
2015-12-31,WABCO HLDGS INC,WBC,3331215,340650000
2015-12-31,WAL MART STORES INC,WMT,56185293,3444158000
2015-12-31,WELLS FARGO & CO NEW,WFC,479704270,26076724000
2016-03-31,AMERICAN EXPRESS CO,AXP,151610700,9308898000
2016-03-31,APPLE INC,AAPL,9811747,1069382000
2016-03-31,AXALTA COATING SYS LTD,AXTA,23324000,681061000
2016-03-31,BANK OF NEW YORK MELLON CORP,BK,20827212,767066000
2016-03-31,CHARTER COMMUNICATIONS INC D,CHTR,10326803,2090455000
2016-03-31,COCA COLA CO,KO,400000000,18556000000
2016-03-31,COSTCO WHSL CORP NEW,COST,4333363,682851000
2016-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2829941000
2016-03-31,DEERE & CO,DE,23280994,1792404000
2016-03-31,GENERAL ELECTRIC CO,GE,10585502,336514000
2016-03-31,GENERAL MTRS CO,GM,50000000,1571500000
2016-03-31,GOLDMAN SACHS GROUP INC,GS,10959519,1720425000
2016-03-31,GRAHAM HLDGS CO,GHC,107575,51636000
2016-03-31,INTERNATIONAL BUSINESS MACHS,IBM,81232303,12302631000
2016-03-31,JOHNSON & JOHNSON,JNJ,327100,35392000
2016-03-31,KINDER MORGAN INC DEL,KMI,26533525,473889000
2016-03-31,KRAFT HEINZ CO,KHC,325634818,25581871000
2016-03-31,LEE ENTERPRISES INC,LEE,88863,160000
2016-03-31,LIBERTY GLOBAL PLC,LBTYA,15577436,599732000
2016-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,275952000
2016-03-31,LIBERTY GLOBAL PLC,LILA,517139,18131000
2016-03-31,LIBERTY GLOBAL PLC,LILAK,367348,13915000
2016-03-31,LIBERTY MEDIA CORP DELAWARE,FWONA,10000000,386300000
2016-03-31,LIBERTY MEDIA CORP DELAWARE,FWONK,20000000,761800000
2016-03-31,M & T BK CORP,MTB,5382040,597406000
2016-03-31,MASTERCARD INC,MA,4934756,466334000
2016-03-31,MEDIA GEN INC NEW,MEG1,3471309,56617000
2016-03-31,MONDELEZ INTL INC,MDLZ,578000,23189000
2016-03-31,MOODYS CORP,MCO,24669778,2382113000
2016-03-31,NOW INC,DNOW,1825569,32349000
2016-03-31,PHILLIPS 66,PSX,75550745,6541939000
2016-03-31,PROCTER & GAMBLE CO,PG,315400,25961000
2016-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,327656000
2016-03-31,TORCHMARK CORP,GL,6353727,344118000
2016-03-31,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,249578000
2016-03-31,U S G CORP,USG,39002016,967640000
2016-03-31,UNITED PARCEL SERVICE INC,UPS,59400,6265000
2016-03-31,US BANCORP DEL,USB,85063167,3452714000
2016-03-31,VERISIGN INC,VRSN,12985000,1149692000
2016-03-31,VERISK ANALYTICS INC,VRSK,1563434,124950000
2016-03-31,VERIZON COMMUNICATIONS INC,VZ,15000928,811250000
2016-03-31,VISA INC,V,10239160,783091000
2016-03-31,WABCO HLDGS INC,WBC,3237094,346110000
2016-03-31,WAL MART STORES INC,WMT,55235863,3783104000
2016-03-31,WELLS FARGO & CO NEW,WFC,479704270,23198499000
2016-06-30,AMERICAN EXPRESS CO,AXP,151610700,9211866000
2016-06-30,APPLE INC,AAPL,15227702,1455768000
2016-06-30,AXALTA COATING SYS LTD,AXTA,23324000,618786000
2016-06-30,BANK OF NEW YORK MELLON CORP,BK,20827212,809137000
2016-06-30,CHARTER COMMUNICATIONS INC N,CHTR,9337491,2134924000
2016-06-30,COCA COLA CO,KO,400000000,18132000000
2016-06-30,COSTCO WHSL CORP NEW,COST,4333363,680511000
2016-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2981889000
2016-06-30,DEERE & CO,DE,21959246,1779577000
2016-06-30,GENERAL ELECTRIC CO,GE,10585502,333233000
2016-06-30,GENERAL MTRS CO,GM,50000000,1415000000
2016-06-30,GOLDMAN SACHS GROUP INC,GS,10959519,1628365000
2016-06-30,GRAHAM HLDGS CO,GHC,107575,52663000
2016-06-30,INTERNATIONAL BUSINESS MACHS,IBM,81232303,12329439000
2016-06-30,JOHNSON & JOHNSON,JNJ,327100,39677000
2016-06-30,KINDER MORGAN INC DEL,KMI,26533525,496708000
2016-06-30,KRAFT HEINZ CO,KHC,325634818,28812169000
2016-06-30,LEE ENTERPRISES INC,LEE,88863,170000
2016-06-30,LIBERTY GLOBAL PLC,LBTYA,19366897,562802000
2016-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,210491000
2016-06-30,LIBERTY GLOBAL PLC,LILA,2714854,87581000
2016-06-30,LIBERTY GLOBAL PLC,LILAK,1284020,41718000
2016-06-30,LIBERTY MEDIA CORP DELAWARE,FWONA,2499998,47850000
2016-06-30,LIBERTY MEDIA CORP DELAWARE,FWONK,4999998,94850000
2016-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,10000000,313600000
2016-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,20000000,617399000
2016-06-30,M & T BK CORP,MTB,5382040,636319000
2016-06-30,MASTERCARD INC,MA,4934756,434555000
2016-06-30,MEDIA GEN INC NEW,MEG1,3471309,59672000
2016-06-30,MONDELEZ INTL INC,MDLZ,578000,26305000
2016-06-30,MOODYS CORP,MCO,24669778,2311805000
2016-06-30,NOW INC,DNOW,1825569,33116000
2016-06-30,PHILLIPS 66,PSX,78782000,6250563000
2016-06-30,PROCTER & GAMBLE CO,PG,315400,26705000
2016-06-30,RESTAURANT BRANDS INTL INC,QSR,8438225,351030000
2016-06-30,TORCHMARK CORP,GL,6353727,392788000
2016-06-30,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,242148000
2016-06-30,U S G CORP,USG,39002016,1051494000
2016-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6399000
2016-06-30,US BANCORP DEL,USB,85063167,3430598000
2016-06-30,VERISIGN INC,VRSN,12952745,1119894000
2016-06-30,VERISK ANALYTICS INC,VRSK,1563434,126763000
2016-06-30,VERIZON COMMUNICATIONS INC,VZ,15000928,837652000
2016-06-30,VISA INC,V,10239160,759438000
2016-06-30,WABCO HLDGS INC,WBC,3237094,296420000
2016-06-30,WAL MART STORES INC,WMT,40226402,2937332000
2016-06-30,WELLS FARGO & CO NEW,WFC,479704270,22704405000
2016-09-30,AMERICAN AIRLS GROUP INC,AAL,21770555,797020000
2016-09-30,AMERICAN EXPRESS CO,AXP,151610700,9709150000
2016-09-30,APPLE INC,AAPL,15227702,1721492000
2016-09-30,AXALTA COATING SYS LTD,AXTA,23324000,659369000
2016-09-30,BANK OF NEW YORK MELLON CORP,BK,21136712,842932000
2016-09-30,CHARTER COMMUNICATIONS INC N,CHTR,9443491,2549459000
2016-09-30,COCA COLA CO,KO,400000000,16928001000
2016-09-30,COSTCO WHSL CORP NEW,COST,4333363,660881000
2016-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2548027000
2016-09-30,DEERE & CO,DE,21085061,1799610000
2016-09-30,DELTA AIR LINES INC DEL,DAL,6333923,249303000
2016-09-30,GENERAL ELECTRIC CO,GE,10585502,313541000
2016-09-30,GENERAL MTRS CO,GM,50000000,1588501000
2016-09-30,GOLDMAN SACHS GROUP INC,GS,10959519,1767441000
2016-09-30,GRAHAM HLDGS CO,GHC,107575,51783000
2016-09-30,INTERNATIONAL BUSINESS MACHS,IBM,81232303,12903752000
2016-09-30,JOHNSON & JOHNSON,JNJ,327100,38640000
2016-09-30,KINDER MORGAN INC DEL,KMI,20000000,462600000
2016-09-30,KRAFT HEINZ CO,KHC,325634818,29147573000
2016-09-30,LEE ENTERPRISES INC,LEE,88863,333000
2016-09-30,LIBERTY GLOBAL PLC,LBTYA,20180897,689783000
2016-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,242744000
2016-09-30,LIBERTY GLOBAL PLC,LILA,2714854,74903000
2016-09-30,LIBERTY GLOBAL PLC,LILAK,1284020,36017000
2016-09-30,LIBERTY MEDIA CORP DELAWARE,FWONA,1296013,37131000
2016-09-30,LIBERTY MEDIA CORP DELAWARE,FWONK,3189041,89740000
2016-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,10058800,341799000
2016-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,22236109,742909000
2016-09-30,M & T BK CORP,MTB,5382040,624856000
2016-09-30,MASTERCARD INC,MA,4934756,502210000
2016-09-30,MONDELEZ INTL INC,MDLZ,578000,25374000
2016-09-30,MOODYS CORP,MCO,24669778,2671244000
2016-09-30,NOW INC,DNOW,1825569,39122000
2016-09-30,PHILLIPS 66,PSX,80689892,6499571000
2016-09-30,PROCTER & GAMBLE CO,PG,315400,28307000
2016-09-30,RESTAURANT BRANDS INTL INC,QSR,8438225,376176000
2016-09-30,TORCHMARK CORP,GL,6353727,405940000
2016-09-30,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,216814000
2016-09-30,U S G CORP,USG,39002016,1008202000
2016-09-30,UNITED CONTL HLDGS INC,UAL,4533013,237847000
2016-09-30,UNITED PARCEL SERVICE INC,UPS,59400,6496000
2016-09-30,US BANCORP DEL,USB,85063167,3648359000
2016-09-30,VERISIGN INC,VRSN,12952745,1013423000
2016-09-30,VERISK ANALYTICS INC,VRSK,1563434,127076000
2016-09-30,VERIZON COMMUNICATIONS INC,VZ,15000928,779748000
2016-09-30,VISA INC,V,10562460,873516000
2016-09-30,WABCO HLDGS INC,WBC,3368394,382414000
2016-09-30,WAL MART STORES INC,WMT,12971574,935510000
2016-09-30,WELLS FARGO & CO NEW,WFC,479704270,21241306000
2016-12-31,AMERICAN AIRLS GROUP INC,AAL,45544854,2126489000
2016-12-31,AMERICAN EXPRESS CO,AXP,151610700,11231321000
2016-12-31,APPLE INC,AAPL,57359652,6643394000
2016-12-31,AXALTA COATING SYS LTD,AXTA,23324000,634413000
2016-12-31,BANK OF NEW YORK MELLON CORP,BK,21671969,1026818000
2016-12-31,CHARTER COMMUNICATIONS INC N,CHTR,9443491,2718970000
2016-12-31,COCA COLA CO,KO,400000000,16584000000
2016-12-31,COSTCO WHSL CORP NEW,COST,4333363,693815000
2016-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2475910000
2016-12-31,DELTA AIR LINES INC DEL,DAL,60025995,2952679000
2016-12-31,GENERAL ELECTRIC CO,GE,10585502,334501000
2016-12-31,GENERAL MTRS CO,GM,50000000,1741999000
2016-12-31,GOLDMAN SACHS GROUP INC,GS,10959519,2624257000
2016-12-31,GRAHAM HLDGS CO,GHC,107575,55073000
2016-12-31,INTERNATIONAL BUSINESS MACHS,IBM,81232303,13483751000
2016-12-31,JOHNSON & JOHNSON,JNJ,327100,37685000
2016-12-31,KRAFT HEINZ CO,KHC,325634818,28434432000
2016-12-31,LIBERTY GLOBAL PLC,LBTYA,20180897,617334000
2016-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,218205000
2016-12-31,LIBERTY GLOBAL PLC,LILA,2714854,59618000
2016-12-31,LIBERTY GLOBAL PLC,LILAK,1284020,27183000
2016-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,10058800,347230000
2016-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,22236109,754249000
2016-12-31,M & T BK CORP,MTB,5382040,841913000
2016-12-31,MASTERCARD INC,MA,4934756,509514000
2016-12-31,MONDELEZ INTL INC,MDLZ,578000,25623000
2016-12-31,MOODYS CORP,MCO,24669778,2325620000
2016-12-31,MOSANTO CO NEW,MON2,8041784,846076000
2016-12-31,PHILLIPS 66,PSX,80689892,6972414000
2016-12-31,PROCTER & GAMBLE CO,PG,315400,26519000
2016-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,402166000
2016-12-31,SIRIUS XM HLDGS INC,SIRI,166639941,741547000
2016-12-31,SOUTHWEST AIRLS CO,LUV,43203775,2153276000
2016-12-31,TORCHMARK CORP,GL,6353727,468651000
2016-12-31,TWENTY FIRST CENTY FOX INC,TFCFA,8951869,251011000
2016-12-31,U S G CORP,USG,39002016,1126378000
2016-12-31,UNITED CONTL HLDGS INC,UAL,28951353,2109975000
2016-12-31,UNITED PARCEL SERVICE INC,UPS,59400,6810000
2016-12-31,US BANCORP DEL,USB,85063167,4369696000
2016-12-31,VERISIGN INC,VRSN,12952745,985315000
2016-12-31,VERISK ANALYTICS INC,VRSK,1563434,126904000
2016-12-31,VERIZON COMMUNICATIONS INC,VZ,928,50000
2016-12-31,VISA INC,V,10562460,824083000
2016-12-31,WABCO HLDGS INC,WBC,3368394,357555000
2016-12-31,WAL MART STORES INC,WMT,1393513,96320000
2016-12-31,WELLS FARGO & CO NEW,WFC,479704270,26436503000
2017-03-31,AMERICAN AIRLS GROUP INC,AAL,49278854,2084496000
2017-03-31,AMERICAN EXPRESS CO,AXP,151610700,11993921000
2017-03-31,APPLE INC,AAPL,129357106,18583441000
2017-03-31,AXALTA COATING SYS LTD,AXTA,23324000,751033000
2017-03-31,BANK OF NEW YORK MELLON CORP,BK,33012059,1559160000
2017-03-31,CHARTER COMMUNICATIONS INC N,CHTR,9443491,3091043000
2017-03-31,COCA COLA CO,KO,400000000,16976000000
2017-03-31,COSTCO WHSL CORP NEW,COST,4333363,726662000
2017-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2621301000
2017-03-31,DELTA AIR LINES INC DEL,DAL,55025995,2528995000
2017-03-31,GENERAL ELECTRIC CO,GE,10585502,315448000
2017-03-31,GENERAL MTRS CO,GM,50000000,1768001000
2017-03-31,GOLDMAN SACHS GROUP INC,GS,10959519,2517620000
2017-03-31,GRAHAM HLDGS CO,GHC,107575,64496000
2017-03-31,INTERNATIONAL BUSINESS MACHS,IBM,64561955,11242819000
2017-03-31,JOHNSON & JOHNSON,JNJ,327100,40740000
2017-03-31,KRAFT HEINZ CO,KHC,325634818,29570898000
2017-03-31,LIBERTY GLOBAL PLC,LBTYA,20180897,723889000
2017-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,257438000
2017-03-31,LIBERTY GLOBAL PLC,LILA,2714854,60378000
2017-03-31,LIBERTY GLOBAL PLC,LILAK,1284020,29584000
2017-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,10247800,398845000
2017-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,22307109,865070000
2017-03-31,M & T BK CORP,MTB,5382040,832764000
2017-03-31,MASTERCARD INC,MA,4934756,555012000
2017-03-31,MONDELEZ INTL INC,MDLZ,578000,24900000
2017-03-31,MOODYS CORP,MCO,24669778,2764002000
2017-03-31,MOSANTO CO NEW,MON2,8041784,910330000
2017-03-31,PHILLIPS 66,PSX,80689892,6392254000
2017-03-31,PROCTER & GAMBLE CO,PG,315400,28339000
2017-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,470347000
2017-03-31,SIRIUS XM HLDGS INC,SIRI,172325353,887476000
2017-03-31,SOUTHWEST AIRLS CO,LUV,47659456,2562172000
2017-03-31,TORCHMARK CORP,GL,6353727,489492000
2017-03-31,U S G CORP,USG,39002016,1240264000
2017-03-31,UNITED CONTL HLDGS INC,UAL,28951353,2045124000
2017-03-31,UNITED PARCEL SERVICE INC,UPS,59400,6374000
2017-03-31,US BANCORP DEL,USB,85063167,4380754000
2017-03-31,VERISIGN INC,VRSN,12952745,1128313000
2017-03-31,VERISK ANALYTICS INC,VRSK,1563434,126857000
2017-03-31,VERIZON COMMUNICATIONS INC,VZ,928,45000
2017-03-31,VISA INC,V,10562460,938686000
2017-03-31,WABCO HLDGS INC,WBC,2908554,341522000
2017-03-31,WAL MART STORES INC,WMT,1393513,100445000
2017-03-31,WELLS FARGO & CO NEW,WFC,479704270,26700340000
2017-06-30,AMERICAN AIRLS GROUP INC,AAL,47000000,2365039000
2017-06-30,AMERICAN EXPRESS CO,AXP,151610700,12771685000
2017-06-30,APPLE INC,AAPL,130191960,18750246000
2017-06-30,AXALTA COATING SYS LTD,AXTA,23324000,747301000
2017-06-30,BANK OF NEW YORK MELLON CORP,BK,50229588,2562715000
2017-06-30,CHARTER COMMUNICATIONS INC N,CHTR,9443491,3181040000
2017-06-30,COCA COLA CO,KO,400000000,17939999000
2017-06-30,COSTCO WHSL CORP NEW,COST,4333363,693035000
2017-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2497506000
2017-06-30,DELTA AIR LINES INC DEL,DAL,53110395,2854152000
2017-06-30,GENERAL MTRS CO,GM,60000000,2095800000
2017-06-30,GOLDMAN SACHS GROUP INC,GS,10959519,2431917000
2017-06-30,GRAHAM HLDGS CO,GHC,107575,64507000
2017-06-30,INTERNATIONAL BUSINESS MACHS,IBM,54084673,8319845000
2017-06-30,JOHNSON & JOHNSON,JNJ,327100,43272000
2017-06-30,KRAFT HEINZ CO,KHC,325634818,27887366000
2017-06-30,LIBERTY GLOBAL PLC,LBTYA,20180897,648210000
2017-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,229078000
2017-06-30,LIBERTY GLOBAL PLC,LILA,2714854,59102000
2017-06-30,LIBERTY GLOBAL PLC,LILAK,1284020,27491000
2017-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,623838000
2017-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1296494000
2017-06-30,M & T BK CORP,MTB,5382040,871622000
2017-06-30,MASTERCARD INC,MA,4934756,599326000
2017-06-30,MONDELEZ INTL INC,MDLZ,578000,24964000
2017-06-30,MOODYS CORP,MCO,24669778,3001819000
2017-06-30,MOSANTO CO NEW,MON2,8041784,951826000
2017-06-30,PHILLIPS 66,PSX,80689892,6672247000
2017-06-30,PROCTER & GAMBLE CO,PG,315400,27487000
2017-06-30,RESTAURANT BRANDS INTL INC,QSR,8438225,527727000
2017-06-30,SIRIUS XM HLDGS INC,SIRI,137915729,754399000
2017-06-30,SOUTHWEST AIRLS CO,LUV,47659456,2961559000
2017-06-30,STORE CAP CORP,STOR,18621674,418057000
2017-06-30,SYNCHRONY FINL,SYF,17463000,520747000
2017-06-30,TORCHMARK CORP,GL,6353727,486059000
2017-06-30,U S G CORP,USG,39002016,1131838000
2017-06-30,UNITED CONTL HLDGS INC,UAL,28211563,2122920000
2017-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6569000
2017-06-30,US BANCORP DEL,USB,85063167,4416478000
2017-06-30,VERISIGN INC,VRSN,12952745,1204088000
2017-06-30,VERISK ANALYTICS INC,VRSK,1563434,131907000
2017-06-30,VERIZON COMMUNICATIONS INC,VZ,928,41000
2017-06-30,VISA INC,V,10562460,990547000
2017-06-30,WABCO HLDGS INC,WBC,63195,8058000
2017-06-30,WAL MART STORES INC,WMT,1393513,105461000
2017-06-30,WELLS FARGO & CO NEW,WFC,467987270,25931175000
2017-09-30,AMERICAN AIRLS GROUP INC,AAL,47000000,2232031000
2017-09-30,AMERICAN EXPRESS CO,AXP,151610700,13714704000
2017-09-30,APPLE INC,AAPL,134092782,20666379000
2017-09-30,AXALTA COATING SYS LTD,AXTA,23324000,674530000
2017-09-30,BANK AMER CORP,BAC,679000000,17205859000
2017-09-30,BANK OF NEW YORK MELLON CORP,BK,50229588,2663173000
2017-09-30,CHARTER COMMUNICATIONS INC N,CHTR,8489391,3085214000
2017-09-30,COCA COLA CO,KO,400000000,18004001000
2017-09-30,COSTCO WHSL CORP NEW,COST,4333363,711928000
2017-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2290410000
2017-09-30,DELTA AIR LINES INC DEL,DAL,53110395,2560983000
2017-09-30,GENERAL MTRS CO,GM,60000000,2422799000
2017-09-30,GOLDMAN SACHS GROUP INC,GS,10959519,2599488000
2017-09-30,GRAHAM HLDGS CO,GHC,107575,62942000
2017-09-30,INTERNATIONAL BUSINESS MACHS,IBM,37026698,5371833000
2017-09-30,JOHNSON & JOHNSON,JNJ,327100,42526000
2017-09-30,KRAFT HEINZ CO,KHC,325634818,25252980000
2017-09-30,LIBERTY GLOBAL PLC,LBTYA,20180897,684334000
2017-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,240246000
2017-09-30,LIBERTY GLOBAL PLC,LILA,2714854,64505000
2017-09-30,LIBERTY GLOBAL PLC,LILAK,1284020,29918000
2017-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,622649000
2017-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1301779000
2017-09-30,M & T BK CORP,MTB,5382040,866724000
2017-09-30,MASTERCARD INC,MA,4934756,696788000
2017-09-30,MONDELEZ INTL INC,MDLZ,578000,23501000
2017-09-30,MOODYS CORP,MCO,24669778,3434280000
2017-09-30,MOSANTO CO NEW,MON2,8873469,1063219000
2017-09-30,PHILLIPS 66,PSX,80689892,7392000000
2017-09-30,PROCTER & GAMBLE CO,PG,315400,28695000
2017-09-30,RESTAURANT BRANDS INTL INC,QSR,8438225,539034000
2017-09-30,SIRIUS XM HLDGS INC,SIRI,137915729,761295000
2017-09-30,SOUTHWEST AIRLS CO,LUV,47659456,2667976000
2017-09-30,STORE CAP CORP,STOR,18621674,463121000
2017-09-30,SYNCHRONY FINL,SYF,20803000,645933000
2017-09-30,TORCHMARK CORP,GL,6353727,508871000
2017-09-30,U S G CORP,USG,39002016,1273416000
2017-09-30,UNITED CONTL HLDGS INC,UAL,28211563,1717519000
2017-09-30,UNITED PARCEL SERVICE INC,UPS,59400,7133000
2017-09-30,US BANCORP DEL,USB,85063167,4558535000
2017-09-30,VERISIGN INC,VRSN,12952745,1378042000
2017-09-30,VERISK ANALYTICS INC,VRSK,1563434,130062000
2017-09-30,VERIZON COMMUNICATIONS INC,VZ,928,46000
2017-09-30,VISA INC,V,10562460,1111593000
2017-09-30,WAL MART STORES INC,WMT,1393513,108889000
2017-09-30,WELLS FARGO & CO NEW,WFC,464232268,25602410000
2017-12-31,AMERICAN AIRLS GROUP INC,AAL,46000000,2393379000
2017-12-31,AMERICAN EXPRESS CO,AXP,151610700,15056458000
2017-12-31,APPLE INC,AAPL,165333962,27979467000
2017-12-31,AXALTA COATING SYS LTD,AXTA,23324000,754765000
2017-12-31,BANK AMER CORP,BAC,679000000,20044080000
2017-12-31,BANK OF NEW YORK MELLON CORP,BK,60818783,3275697000
2017-12-31,CHARTER COMMUNICATIONS INC N,CHTR,8489391,2852096000
2017-12-31,COCA COLA CO,KO,400000000,18352001000
2017-12-31,COSTCO WHSL CORP NEW,COST,4333363,806526000
2017-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2786362000
2017-12-31,DELTA AIR LINES INC DEL,DAL,53110395,2974182000
2017-12-31,GENERAL MTRS CO,GM,50000000,2049500000
2017-12-31,GOLDMAN SACHS GROUP INC,GS,10959519,2792047000
2017-12-31,GRAHAM HLDGS CO,GHC,107575,60065000
2017-12-31,INTERNATIONAL BUSINESS MACHS,IBM,2048045,314211000
2017-12-31,JOHNSON & JOHNSON,JNJ,327100,45702000
2017-12-31,KRAFT HEINZ CO,KHC,325634818,25321363000
2017-12-31,LIBERTY GLOBAL PLC,LBTYA,20180897,723283000
2017-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,248621000
2017-12-31,LIBERTY GLOBAL PLC,LILA,2714854,54704000
2017-12-31,LIBERTY GLOBAL PLC,LILAK,1284020,25539000
2017-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,589362000
2017-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1233068000
2017-12-31,M & T BK CORP,MTB,5382040,920275000
2017-12-31,MASTERCARD INC,MA,4934756,746925000
2017-12-31,MONDELEZ INTL INC,MDLZ,578000,24738000
2017-12-31,MOODYS CORP,MCO,24669778,3641506000
2017-12-31,MOSANTO CO NEW,MON2,11708747,1367348000
2017-12-31,PHILLIPS 66,PSX,80689892,8161782000
2017-12-31,PROCTER & GAMBLE CO,PG,315400,28979000
2017-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,518782000
2017-12-31,SIRIUS XM HLDGS INC,SIRI,137915729,739228000
2017-12-31,SOUTHWEST AIRLS CO,LUV,47659456,3119312000
2017-12-31,STORE CAP CORP,STOR,18621674,484908000
2017-12-31,SYNCHRONY FINL,SYF,20803000,803203000
